None,indicator_id,region_id,date,value
423,SSSM,845160,2019-12-31,331667.0
424,SSSM,845160,2019-11-30,328750.0
425,SSSM,845160,2019-10-31,328083.0
426,SSSM,845160,2019-09-30,326417.0
427,SSSM,845160,2019-08-31,323500.0
428,SSSM,845160,2019-07-31,324167.0
429,SSSM,845160,2019-06-30,320833.0
430,SSSM,845160,2019-05-31,313333.0
431,SSSM,845160,2019-04-30,306667.0
432,SSSM,845160,2019-03-31,305167.0
433,SSSM,845160,2019-02-28,305167.0
434,SSSM,845160,2019-01-31,306833.0
435,SSSM,845160,2018-12-31,307624.0
436,SSSM,845160,2018-11-30,311791.0
437,SSSM,845160,2018-10-31,311432.0
438,SSSM,845160,2018-09-30,308807.0
439,SSSM,845160,2018-08-31,307641.0
440,SSSM,845160,2018-07-31,309233.0
441,SSSM,845160,2018-06-30,300900.0
442,SSSM,845160,2018-05-31,295908.0
443,SSSM,845160,2018-04-30,289675.0
444,SSSM,845160,2018-03-31,291342.0
445,SSSM,845160,2018-02-28,290773.0
446,SSSM,845160,2018-01-31,287107.0
447,SSSM,845160,2017-12-31,285440.0
448,SSSM,845160,2017-11-30,284333.0
449,SSSM,845160,2017-10-31,276333.0
450,SSSM,845160,2017-09-30,278667.0
451,SSSM,845160,2017-08-31,274500.0
452,SSSM,845160,2017-07-31,278000.0
453,SSSM,845160,2017-06-30,274000.0
454,SSSM,845160,2017-05-31,272667.0
455,SSSM,845160,2017-04-30,270417.0
456,SSSM,845160,2017-03-31,262917.0
457,SSSM,845160,2017-02-28,260917.0
458,SSSM,845160,2017-01-31,256333.0
459,SSSM,845160,2016-12-31,258833.0
460,SSSM,845160,2016-11-30,250833.0
461,SSSM,845160,2016-10-31,250500.0
462,SSSM,845160,2016-09-30,246333.0
463,SSSM,845160,2016-08-31,251150.0
464,SSSM,845160,2016-07-31,246483.0
465,SSSM,845160,2016-06-30,242150.0
466,SSSM,845160,2016-05-31,232000.0
467,SSSM,845160,2016-04-30,228667.0
468,SSSM,845160,2016-03-31,231300.0
469,SSSM,845160,2016-02-29,232467.0
470,SSSM,845160,2016-01-31,238967.0
471,SSSM,845160,2015-12-31,238167.0
472,SSSM,845160,2015-11-30,237833.0
473,SSSM,845160,2015-10-31,230500.0
474,SSSM,845160,2015-09-30,230467.0
475,SSSM,845160,2015-08-31,230467.0
476,SSSM,845160,2015-07-31,231300.0
477,SSSM,845160,2015-06-30,227833.0
478,SSSM,845160,2015-05-31,226500.0
479,SSSM,845160,2015-04-30,222833.0
480,SSSM,845160,2015-03-31,219000.0
481,SSSM,845160,2015-02-28,213333.0
482,SSSM,845160,2015-01-31,216833.0
483,SSSM,845160,2014-12-31,216667.0
484,SSSM,845160,2014-11-30,223000.0
485,SSSM,845160,2014-10-31,217167.0
486,SSSM,845160,2014-09-30,216333.0
487,SSSM,845160,2014-08-31,214000.0
488,SSSM,845160,2014-07-31,210000.0
489,SSSM,845160,2014-06-30,204167.0
490,SSSM,845160,2014-05-31,194167.0
491,SSSM,845160,2014-04-30,192500.0
492,SSSM,845160,2014-03-31,190000.0
493,SSSM,845160,2014-02-28,190000.0
494,SSSM,845160,2014-01-31,188333.0
495,SSSM,845160,2013-12-31,188333.0
496,SSSM,845160,2013-11-30,191667.0
497,SSSM,845160,2013-10-31,193333.0
498,SSSM,845160,2013-09-30,193750.0
499,SSSM,845160,2013-08-31,192417.0
500,SSSM,845160,2013-07-31,192083.0
501,SSSM,845160,2013-06-30,188333.0
502,SSSM,845160,2013-05-31,178000.0
503,SSSM,845160,2013-04-30,170967.0
504,SSSM,845160,2013-03-31,165133.0
505,SSSM,845160,2013-02-28,165317.0
506,SSSM,845160,2013-01-31,164850.0
507,SSSM,845160,2012-12-31,168100.0
508,SSSM,845160,2012-11-30,168667.0
509,SSSM,845160,2012-10-31,168167.0
510,SSSM,845160,2012-09-30,166750.0
511,SSSM,845160,2012-08-31,166000.0
512,SSSM,845160,2012-07-31,170167.0
513,SSSM,845160,2012-06-30,160667.0
514,SSSM,845160,2012-05-31,157333.0
515,SSSM,845160,2012-04-30,149833.0
516,SSSM,845160,2012-03-31,155667.0
517,SSSM,845160,2012-02-29,155802.0
518,SSSM,845160,2012-01-31,158552.0
519,SSSM,845160,2011-12-31,155352.0
520,SSSM,845160,2011-11-30,156883.0
521,SSSM,845160,2011-10-31,160967.0
522,SSSM,845160,2011-09-30,168467.0
523,SSSM,845160,2011-08-31,165100.0
524,SSSM,845160,2011-07-31,159267.0
525,SSSM,845160,2011-06-30,157633.0
526,SSSM,845160,2011-05-31,162667.0
527,SSSM,845160,2011-04-30,163333.0
528,SSSM,845160,2011-03-31,161667.0
