None,indicator_id,region_id,date,value
192,SRSM,845164,2023-03-31,330000.0
193,SRSM,845164,2023-02-28,297000.0
194,SRSM,845164,2023-01-31,365000.0
195,SRSM,845164,2022-12-31,282800.0
196,SRSM,845164,2022-11-30,310000.0
197,SRSM,845164,2022-10-31,314500.0
198,SRSM,845164,2022-09-30,330000.0
199,SRSM,845164,2022-08-31,325000.0
200,SRSM,845164,2022-07-31,352000.0
201,SRSM,845164,2022-06-30,338000.0
202,SRSM,845164,2022-05-31,335000.0
203,SRSM,845164,2022-04-30,330000.0
204,SRSM,845164,2022-03-31,266000.0
205,SRSM,845164,2022-02-28,279933.0
206,SRSM,845164,2022-01-31,309967.0
207,SRSM,845164,2021-12-31,296500.0
208,SRSM,845164,2021-11-30,266533.0
209,SRSM,845164,2021-10-31,286000.0
210,SRSM,845164,2021-09-30,300000.0
211,SRSM,845164,2021-08-31,305500.0
212,SRSM,845164,2021-07-31,290000.0
213,SRSM,845164,2021-06-30,301000.0
214,SRSM,845164,2021-05-31,257000.0
215,SRSM,845164,2021-04-30,281000.0
216,SRSM,845164,2021-03-31,254000.0
217,SRSM,845164,2021-02-28,257133.0
218,SRSM,845164,2021-01-31,242000.0
219,SRSM,845164,2020-12-31,276000.0
220,SRSM,845164,2020-11-30,252250.0
221,SRSM,845164,2020-10-31,270000.0
222,SRSM,845164,2020-09-30,277500.0
223,SRSM,845164,2020-08-31,279000.0
224,SRSM,845164,2020-07-31,244000.0
225,SRSM,845164,2020-06-30,260000.0
226,SRSM,845164,2020-05-31,240000.0
227,SRSM,845164,2020-04-30,229500.0
228,SRSM,845164,2020-03-31,220000.0
229,SRSM,845164,2020-02-29,203000.0
230,SRSM,845164,2020-01-31,189900.0
231,SRSM,845164,2019-12-31,240000.0
232,SRSM,845164,2019-11-30,200000.0
233,SRSM,845164,2019-10-31,208000.0
234,SRSM,845164,2019-09-30,220000.0
235,SRSM,845164,2019-08-31,213000.0
236,SRSM,845164,2019-07-31,215000.0
237,SRSM,845164,2019-06-30,205600.0
238,SRSM,845164,2019-05-31,225750.0
239,SRSM,845164,2019-04-30,220000.0
240,SRSM,845164,2019-03-31,210000.0
241,SRSM,845164,2019-02-28,187000.0
242,SRSM,845164,2019-01-31,190000.0
243,SRSM,845164,2018-12-31,206000.0
244,SRSM,845164,2018-11-30,219000.0
245,SRSM,845164,2018-10-31,197000.0
246,SRSM,845164,2018-09-30,205467.0
247,SRSM,845164,2018-08-31,200000.0
248,SRSM,845164,2018-07-31,200000.0
249,SRSM,845164,2018-06-30,209000.0
250,SRSM,845164,2018-05-31,220000.0
251,SRSM,845164,2018-04-30,240000.0
252,SRSM,845164,2018-03-31,195000.0
253,SRSM,845164,2018-02-28,225000.0
254,SRSM,845164,2018-01-31,200000.0
255,SRSM,845164,2017-12-31,195000.0
256,SRSM,845164,2017-11-30,207000.0
257,SRSM,845164,2017-10-31,195000.0
258,SRSM,845164,2017-09-30,189967.0
259,SRSM,845164,2017-08-31,202500.0
260,SRSM,845164,2017-07-31,195900.0
261,SRSM,845164,2017-06-30,223000.0
262,SRSM,845164,2017-05-31,200000.0
263,SRSM,845164,2017-04-30,219900.0
264,SRSM,845164,2017-03-31,198000.0
265,SRSM,845164,2017-02-28,198533.0
266,SRSM,845164,2017-01-31,181125.0
267,SRSM,845164,2016-12-31,180000.0
268,SRSM,845164,2016-11-30,180000.0
269,SRSM,845164,2016-10-31,192517.0
270,SRSM,845164,2016-09-30,180000.0
271,SRSM,845164,2016-08-31,196000.0
272,SRSM,845164,2016-07-31,195000.0
273,SRSM,845164,2016-06-30,191167.0
274,SRSM,845164,2016-05-31,200000.0
275,SRSM,845164,2016-04-30,190000.0
276,SRSM,845164,2016-03-31,171000.0
277,SRSM,845164,2016-02-29,172000.0
278,SRSM,845164,2016-01-31,168000.0
279,SRSM,845164,2015-12-31,166750.0
280,SRSM,845164,2015-11-30,191000.0
281,SRSM,845164,2015-10-31,185000.0
282,SRSM,845164,2015-09-30,190000.0
283,SRSM,845164,2015-08-31,171000.0
284,SRSM,845164,2015-07-31,194000.0
285,SRSM,845164,2015-06-30,200000.0
286,SRSM,845164,2015-05-31,200000.0
287,SRSM,845164,2015-04-30,180200.0
288,SRSM,845164,2015-03-31,198733.0
289,SRSM,845164,2015-02-28,182750.0
290,SRSM,845164,2015-01-31,150000.0
291,SRSM,845164,2014-12-31,173000.0
292,SRSM,845164,2014-11-30,174750.0
293,SRSM,845164,2014-10-31,175000.0
294,SRSM,845164,2014-09-30,180000.0
295,SRSM,845164,2014-08-31,179900.0
296,SRSM,845164,2014-07-31,186500.0
297,SRSM,845164,2014-06-30,189500.0
298,SRSM,845164,2014-05-31,181000.0
299,SRSM,845164,2014-04-30,184000.0
300,SRSM,845164,2014-03-31,173450.0
301,SRSM,845164,2014-02-28,151250.0
302,SRSM,845164,2014-01-31,148000.0
303,SRSM,845164,2013-12-31,165650.0
304,SRSM,845164,2013-11-30,177500.0
305,SRSM,845164,2013-10-31,173000.0
306,SRSM,845164,2013-09-30,175000.0
307,SRSM,845164,2013-08-31,179750.0
308,SRSM,845164,2013-07-31,183500.0
309,SRSM,845164,2013-06-30,195900.0
310,SRSM,845164,2013-05-31,165000.0
311,SRSM,845164,2013-04-30,174000.0
312,SRSM,845164,2013-03-31,166500.0
313,SRSM,845164,2013-02-28,160000.0
314,SRSM,845164,2013-01-31,184450.0
315,SRSM,845164,2012-12-31,170950.0
316,SRSM,845164,2012-11-30,160000.0
317,SRSM,845164,2012-10-31,167000.0
318,SRSM,845164,2012-09-30,176000.0
319,SRSM,845164,2012-08-31,176000.0
320,SRSM,845164,2012-07-31,172500.0
321,SRSM,845164,2012-06-30,193250.0
322,SRSM,845164,2012-05-31,186150.0
323,SRSM,845164,2012-04-30,169000.0
324,SRSM,845164,2012-03-31,187350.0
325,SRSM,845164,2012-02-29,161650.0
326,SRSM,845164,2012-01-31,164500.0
327,SRSM,845164,2011-12-31,170000.0
328,SRSM,845164,2011-11-30,158000.0
329,SRSM,845164,2011-10-31,159000.0
330,SRSM,845164,2011-09-30,159000.0
331,SRSM,845164,2011-08-31,196250.0
332,SRSM,845164,2011-07-31,197000.0
333,SRSM,845164,2011-06-30,179000.0
334,SRSM,845164,2011-05-31,194000.0
335,SRSM,845164,2011-04-30,172000.0
336,SRSM,845164,2011-03-31,187000.0
337,SRSM,845164,2011-02-28,149500.0
338,SRSM,845164,2011-01-31,183000.0
339,SRSM,845164,2010-12-31,180000.0
340,SRSM,845164,2010-11-30,189000.0
341,SRSM,845164,2010-10-31,180000.0
342,SRSM,845164,2010-09-30,177600.0
343,SRSM,845164,2010-08-31,194500.0
344,SRSM,845164,2010-07-31,180500.0
345,SRSM,845164,2010-06-30,190000.0
346,SRSM,845164,2010-05-31,177000.0
347,SRSM,845164,2010-04-30,184000.0
348,SRSM,845164,2010-03-31,165200.0
349,SRSM,845164,2010-02-28,156000.0
350,SRSM,845164,2010-01-31,153500.0
351,SRSM,845164,2009-12-31,160000.0
352,SRSM,845164,2009-11-30,173500.0
353,SRSM,845164,2009-10-31,170000.0
354,SRSM,845164,2009-09-30,190000.0
355,SRSM,845164,2009-08-31,180000.0
356,SRSM,845164,2009-07-31,177500.0
357,SRSM,845164,2009-06-30,190000.0
358,SRSM,845164,2009-05-31,168000.0
359,SRSM,845164,2009-04-30,176375.0
360,SRSM,845164,2009-03-31,170000.0
361,SRSM,845164,2009-02-28,145000.0
362,SRSM,845164,2009-01-31,160500.0
363,SRSM,845164,2008-12-31,190000.0
364,SRSM,845164,2008-11-30,171500.0
365,SRSM,845164,2008-10-31,185000.0
366,SRSM,845164,2008-09-30,190000.0
367,SRSM,845164,2008-08-31,186900.0
368,SRSM,845164,2008-07-31,204500.0
369,SRSM,845164,2008-06-30,229000.0
370,SRSM,845164,2008-05-31,214750.0
371,SRSM,845164,2008-04-30,187500.0
372,SRSM,845164,2008-03-31,206250.0
373,SRSM,845164,2008-02-29,207850.0
374,SRSM,845162,2023-08-31,352500.0
375,SRSM,845162,2023-07-31,368950.0
376,SRSM,845162,2023-06-30,370000.0
377,SRSM,845162,2023-05-31,341000.0
378,SRSM,845162,2023-04-30,367450.0
379,SRSM,845162,2023-03-31,365000.0
380,SRSM,845161,2023-07-31,237500.0
381,SRSM,845161,2023-06-30,235000.0
382,SRSM,845161,2023-05-31,170775.0
383,SRSM,845160,2023-08-31,525000.0
384,SRSM,845160,2023-07-31,527000.0
385,SRSM,845160,2023-06-30,539000.0
386,SRSM,845160,2023-05-31,490000.0
387,SRSM,845160,2023-04-30,496000.0
388,SRSM,845160,2023-03-31,512500.0
389,SRSM,845160,2023-02-28,455000.0
390,SRSM,845160,2023-01-31,472800.0
391,SRSM,845160,2022-12-31,455000.0
392,SRSM,845160,2022-11-30,485000.0
393,SRSM,845160,2022-10-31,491000.0
394,SRSM,845160,2022-09-30,449964.0
395,SRSM,845160,2022-08-31,495000.0
396,SRSM,845160,2022-07-31,500000.0
397,SRSM,845160,2022-06-30,499900.0
398,SRSM,845160,2022-05-31,510000.0
399,SRSM,845160,2022-04-30,510000.0
400,SRSM,845160,2022-03-31,485000.0
401,SRSM,845160,2022-02-28,475970.0
402,SRSM,845160,2022-01-31,450000.0
403,SRSM,845160,2021-12-31,485000.0
404,SRSM,845160,2021-11-30,465000.0
405,SRSM,845160,2021-10-31,474500.0
406,SRSM,845160,2021-09-30,450000.0
407,SRSM,845160,2021-08-31,463650.0
408,SRSM,845160,2021-07-31,449000.0
409,SRSM,845160,2021-06-30,455000.0
410,SRSM,845160,2021-05-31,425000.0
411,SRSM,845160,2021-04-30,420000.0
412,SRSM,845160,2021-03-31,380146.0
413,SRSM,845160,2021-02-28,425900.0
414,SRSM,845160,2021-01-31,402900.0
415,SRSM,845160,2020-12-31,397500.0
416,SRSM,845160,2020-11-30,380000.0
417,SRSM,845160,2020-10-31,397000.0
418,SRSM,845160,2020-09-30,385000.0
419,SRSM,845160,2020-08-31,393450.0
420,SRSM,845160,2020-07-31,350000.0
421,SRSM,845160,2020-06-30,349500.0
422,SRSM,845160,2020-05-31,322619.0
423,SRSM,845160,2020-04-30,350000.0
424,SRSM,845160,2020-03-31,335000.0
425,SRSM,845160,2020-02-29,339000.0
426,SRSM,845160,2020-01-31,350000.0
427,SRSM,845160,2019-12-31,340000.0
428,SRSM,845160,2019-11-30,325000.0
429,SRSM,845160,2019-10-31,330000.0
430,SRSM,845160,2019-09-30,331250.0
431,SRSM,845160,2019-08-31,323000.0
432,SRSM,845160,2019-07-31,325000.0
433,SRSM,845160,2019-06-30,322500.0
434,SRSM,845160,2019-05-31,325000.0
435,SRSM,845160,2019-04-30,315000.0
436,SRSM,845160,2019-03-31,300000.0
437,SRSM,845160,2019-02-28,305000.0
438,SRSM,845160,2019-01-31,310500.0
439,SRSM,845160,2018-12-31,300000.0
440,SRSM,845160,2018-11-30,310000.0
441,SRSM,845160,2018-10-31,312873.0
442,SRSM,845160,2018-09-30,312500.0
443,SRSM,845160,2018-08-31,308922.0
444,SRSM,845160,2018-07-31,305000.0
445,SRSM,845160,2018-06-30,309000.0
446,SRSM,845160,2018-05-31,313700.0
447,SRSM,845160,2018-04-30,280000.0
448,SRSM,845160,2018-03-31,294025.0
449,SRSM,845160,2018-02-28,295000.0
450,SRSM,845160,2018-01-31,285000.0
451,SRSM,845160,2017-12-31,292320.0
